Start	Finish	Task	CPU Decision	Frequency
3862.000000	3863.000000	T[0][482]	Execute()	1.000000
3863.000000	3870.000000	____	Sleep	____
3864.000000	_______	T[0][484]	DelayedArrival	____
3864.000000	_______	T[1][277]	DelayedArrival	____
3870.000000	3870.500000	T[0][483]	Execute()	1.000000
3870.500000	3877.000000	____	Sleep	____
3871.500000	_______	T[0][485]	DelayedArrival	____
3877.000000	3878.000000	T[1][276]	Execute()	1.000000
3878.000000	_______	T[1][278]	DelayedArrival	____
3878.000000	3879.000000	T[0][484]	Execute()	1.000000
3879.000000	3884.000000	____	Sleep	____
3879.500000	_______	T[0][486]	DelayedArrival	____
3884.000000	3884.500000	T[0][485]	Execute()	1.000000
3884.500000	3885.000000	T[1][277]	Execute()	1.000000
3885.000000	3887.000000	____	Sleep	____
3887.000000	3888.000000	T[2][15]	Execute()	1.000000
3888.000000	_______	T[0][487]	DelayedArrival	____
3888.000000	3890.000000	T[0][486]	Execute()	1.000000
