Start	Finish	Task	CPU Decision	Frequency
3164.500000	3173.000000	____	Sleep	____
3167.500000	_______	T[0][397]	DelayedArrival	____
3173.000000	3174.000000	T[0][396]	Execute()	1.000000
3174.000000	3175.000000	____	Sleep	____
3175.000000	3176.000000	T[2][12]	Execute()	1.000000
3176.000000	_______	T[0][398]	DelayedArrival	____
3176.000000	3178.000000	T[0][397]	Execute()	1.000000
3178.000000	_______	T[1][228]	DelayedArrival	____
3178.000000	3180.000000	T[2][12]	Execute()	1.000000
3180.000000	3189.000000	____	Sleep	____
3181.000000	_______	T[0][399]	DelayedArrival	____
3181.000000	_______	T[2][14]	DelayedArrival	____
3189.000000	3190.000000	T[1][227]	Execute()	1.000000
3190.000000	3192.000000	T[0][398]	Execute()	1.000000
3192.000000	_______	T[0][400]	DelayedArrival	____
3192.000000	_______	T[1][229]	DelayedArrival	____
3192.000000	3198.000000	____	Sleep	____
3198.000000	3198.500000	T[0][399]	Execute()	1.000000
3198.500000	3205.000000	____	Sleep	____
3199.500000	_______	T[0][401]	DelayedArrival	____
3205.000000	3206.000000	T[1][228]	Execute()	1.000000
3206.000000	_______	T[1][230]	DelayedArrival	____
3206.000000	3207.000000	T[0][400]	Execute()	1.000000
3207.000000	3214.000000	____	Sleep	____
3208.000000	_______	T[0][402]	DelayedArrival	____
3214.000000	3216.000000	T[0][401]	Execute()	1.000000
3216.000000	_______	T[0][403]	DelayedArrival	____
3216.000000	3219.000000	____	Sleep	____
3219.000000	3220.000000	T[1][229]	Execute()	1.000000
3220.000000	_______	T[1][231]	DelayedArrival	____
3220.000000	3222.000000	____	Sleep	____
3222.000000	3224.000000	T[0][402]	Execute()	1.000000
3224.000000	_______	T[0][404]	DelayedArrival	____
3224.000000	3230.000000	____	Sleep	____
3230.000000	3230.500000	T[0][403]	Execute()	1.000000
3230.500000	3233.000000	____	Sleep	____
3231.500000	_______	T[0][405]	DelayedArrival	____
3233.000000	3234.000000	T[1][230]	Execute()	1.000000
3234.000000	_______	T[1][232]	DelayedArrival	____
3234.000000	3238.000000	____	Sleep	____
